Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-05-23 11:00:00
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1716483643	393565893	4712	8	""	2024-05-23	11:00:43	5411.5693	455.96866	2107.8513	39.3468	55.0003	26.9173	51.1433	0.0020138	11.072	54.5005	-124.75	0.26661	24.0962	 15
DATA	1716483644	393565893	4716	8	""	2024-05-23	11:00:44	5412.9277	453.74744	2106.4358	39.3456	55.0003	26.916	51.1432	0.00199556	11.0734	54.5005	30.75	0.26661	24.095	189
DATA	1716483645	393565893	4720	8	""	2024-05-23	11:00:45	5407.1079	455.81546	2105.5439	39.3472	55.0003	26.9156	51.1432	0.00204475	11.0726	54.5005	-62	0.26661	24.095	117
DATA	1716483646	393220901	4724	8	""	2024-05-23	11:00:46	5405.8247	456.23407	2104.8384	39.3464	55.0003	26.914	51.1432	0.00199471	11.0724	54.5005	-1.25	0.26661	24.095	144
DATA	1716483647	393220901	4728	8	""	2024-05-23	11:00:47	5413.4482	459.56641	2105.3037	39.346	55.0003	26.9152	51.1432	0.00204002	11.0724	54.5005	158.25	0.26661	24.095	186
DATA	1716483648	393220901	4732	8	""	2024-05-23	11:00:48	5410.2339	456.27341	2104.6287	39.3464	55.0003	26.9201	51.1432	0.00204359	11.0723	54.5005	-126.25	0.26661	24.095	 25
DATA	1716483649	393220901	4736	8	""	2024-05-23	11:00:49	5411.9507	459.72812	2104.4165	39.3468	55.0003	26.9156	51.1433	0.00199172	11.0728	54.5005	-100	0.26661	24.0982	212
DATA	1716483650	393220901	4740	8	""	2024-05-23	11:00:50	5411.1152	459.90927	2104.6575	39.3464	55.0003	26.9148	51.1432	0.00201858	11.0751	54.5005	157.25	0.26661	24.0966	 42
DATA	1716483651	393220901	4744	8	""	2024-05-23	11:00:51	5415.7759	456.18365	2105.5125	39.3468	55.0003	26.9169	51.1432	0.00201729	11.0744	54.5005	-66	0.26661	24.0958	165
DATA	1716483652	393220901	4748	8	""	2024-05-23	11:00:52	5416.9897	462.10202	2105.3662	39.346	55.0003	26.9185	51.1433	0.00200321	11.073	54.5005	117.25	0.26661	24.0962	181
DATA	1716483653	393220901	4752	8	""	2024-05-23	11:00:53	5419.3984	459.13675	2106.7717	39.3456	55.0003	26.9197	51.1433	0.00205385	11.0731	54.5005	-143	0.26661	24.0962	216
DATA	1716483654	392883062	4756	8	""	2024-05-23	11:00:54	5416.4951	455.42365	2105.2898	39.3464	55.0003	26.9156	51.1432	0.00201854	11.0727	54.5005	-51.75	0.26661	24.0958	 72
DATA	1716483655	392883062	4760	8	""	2024-05-23	11:00:55	5419.3394	455.29648	2107.9321	39.346	55.0003	26.9136	51.1432	0.00197651	11.0719	54.5005	-7	0.26661	24.0962	 77
DATA	1716483656	392883062	4764	8	""	2024-05-23	11:00:56	5414.3701	455.43127	2107.9019	39.3472	55.0003	26.914	51.1433	0.00205865	11.074	54.5005	21.75	0.26661	24.0962	157
DATA	1716483657	392883062	4768	8	""	2024-05-23	11:00:57	5416.668	456.47525	2108.7659	39.3464	55.0003	26.9123	51.1432	0.00201924	11.0724	54.5005	-80.5	0.26661	24.0958	233
DATA	1716483658	392883062	4772	8	""	2024-05-23	11:00:58	5410.105	459.12976	2109.063	39.3464	55.0003	26.9123	51.1433	0.00199626	11.0735	54.5005	43	0.26661	24.0966	 22
DATA	1716483659	392883062	4776	8	""	2024-05-23	11:00:59	5414.2021	456.2558	2108.2834	39.346	55.0003	26.9164	51.1432	0.00201918	11.073	54.5005	131.25	0.26661	24.0958	161
DATA	1716483660	392883062	4780	8	""	2024-05-23	11:01:00	5413.8345	453.02048	2107.3508	39.3464	55.0003	26.9181	51.1432	0.00203056	11.0718	54.5005	45.5	0.26661	24.0954	188
DATA	1716483661	392524003	4784	8	""	2024-05-23	11:01:01	5418.4111	454.07755	2106.2002	39.3464	55.0003	26.916	51.1432	0.00202545	11.072	54.5005	-154.25	0.26661	24.095	159
