T,C,CT,,,,
5/23/2024 11:11:56,-39.224167,0,,,,
5/23/2024 11:11:57,-38.186947,0,,,,
5/23/2024 11:11:58,-38.943661,0,,,,
5/23/2024 11:11:59,-41.693623,0,,,,
5/23/2024 11:12:00,-41.081654,0,,,,
5/23/2024 11:12:01,-39.670902,0,,,,
5/23/2024 11:12:02,-38.621796,0,,,,
5/23/2024 11:12:03,-38.851196,0,,,,
5/23/2024 11:12:04,-37.60907,0,,,,
5/23/2024 11:12:05,-39.958275,0,,,,
5/23/2024 11:12:06,-40.702038,0,,,,
5/23/2024 11:12:07,-38.664253,0,,,,
5/23/2024 11:12:08,-40.067173,0,,,,
5/23/2024 11:12:09,-39.388062,0,,,,
5/23/2024 11:12:10,-42.539062,0,,,,
5/23/2024 11:12:11,-37.713562,0,,,,
5/23/2024 11:12:12,-44.31778,0,,,,
5/23/2024 11:12:13,-37.711449,0,,,,
5/23/2024 11:12:14,-43.127968,0,,,,
5/23/2024 11:12:15,-40.537533,0,,,,
5/23/2024 11:12:16,-38.941322,0,,,,
5/23/2024 11:12:17,-40.976444,0,,,,
5/23/2024 11:12:18,-38.805698,0,,,,
5/23/2024 11:12:19,-38.516193,0,,,,
5/23/2024 11:12:20,-40.510296,0,,,,
5/23/2024 11:12:21,-39.371002,0,,,,
5/23/2024 11:12:22,-34.393063,0,,,,
5/23/2024 11:12:23,-38.84774,0,,,,
5/23/2024 11:12:24,-37.569321,0,,,,
5/23/2024 11:12:25,-38.531818,0,,,,
5/23/2024 11:12:26,-37.516876,0,,,,
5/23/2024 11:12:27,-41.265015,0,,,,
5/23/2024 11:12:28,-40.11174,0,,,,
5/23/2024 11:12:29,-40.618259,0,,,,
,,,,,,
,,,,,,
