Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-04-04 08:03:04
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1712239493	905659914	449	256	""	2024-04-04	08:04:53	nan	nan	nan	79.0206	21.8258	78.9955	50.8758	0	0	21.8279	-16000	0	23.8879	211
DATA	1712239494	905358076	453	256	""	2024-04-04	08:04:54	nan	nan	nan	79.0202	21.8436	78.9959	50.8758	0	0	21.8497	-16000	0	23.8875	199
DATA	1712239495	905358076	457	256	""	2024-04-04	08:04:55	nan	nan	nan	79.0206	21.8615	78.9959	50.8758	0	0	21.871	-16000	0	23.8875	148
DATA	1712239496	905358076	461	256	""	2024-04-04	08:04:56	nan	nan	nan	79.0218	21.8786	78.9959	50.8758	0	0	21.8921	-16000	0	23.8875	209
DATA	1712239497	905358076	465	256	""	2024-04-04	08:04:57	nan	nan	nan	79.0202	21.8958	78.9963	50.8758	0	0	21.913	-16000	0	23.8875	149
DATA	1712239498	905358076	469	256	""	2024-04-04	08:04:58	nan	nan	nan	79.0214	21.9129	78.9955	50.8758	0	0	21.9341	-16000	0	23.8871	198
DATA	1712239499	905358076	473	256	""	2024-04-04	08:04:59	nan	nan	nan	79.0206	21.9303	78.9959	50.8758	0	0	21.955	-16000	0	23.8875	152
DATA	1712239500	905358076	477	256	""	2024-04-04	08:05:00	nan	nan	nan	79.0202	21.9468	78.9955	50.8758	0	0	21.9751	-16000	0	23.8867	182
DATA	1712239501	905047893	481	256	""	2024-04-04	08:05:01	nan	nan	nan	79.0202	21.9629	78.9963	50.8758	0	0	21.9952	-16000	0	23.8863	178
DATA	1712239502	905047893	485	256	""	2024-04-04	08:05:02	nan	nan	nan	79.021	21.9803	78.9972	50.8758	0	0	22.0165	-16000	0	23.8867	121
DATA	1712239503	905047893	489	256	""	2024-04-04	08:05:03	nan	nan	nan	79.021	21.9975	78.9972	50.8758	0	0	22.0381	-16000	0	23.8863	133
DATA	1712239504	905047893	493	256	""	2024-04-04	08:05:04	nan	nan	nan	79.0206	22.0147	78.9976	50.8756	0	0	22.059	-16000	0	23.8863	122
DATA	1712239505	905047893	497	256	""	2024-04-04	08:05:05	nan	nan	nan	79.0181	22.0325	78.9951	50.8756	0	0	22.08	-16000	0	23.8863	 67
DATA	1712239506	905047893	501	256	""	2024-04-04	08:05:06	nan	nan	nan	79.0218	22.0497	78.998	50.8758	0	0	22.1009	-16000	0	23.8863	120
