T,C
23-May-2024 11:03:29,405.233
23-May-2024 11:03:30,396.42096
23-May-2024 11:03:31,399.33817
23-May-2024 11:03:32,389.1492
23-May-2024 11:03:33,387.62308
23-May-2024 11:03:34,386.22787
23-May-2024 11:03:35,394.92172
23-May-2024 11:03:36,396.29065
23-May-2024 11:03:37,398.27563
23-May-2024 11:03:38,395.0957
23-May-2024 11:03:39,397.13693
23-May-2024 11:03:40,395.01868
23-May-2024 11:03:41,397.70648
23-May-2024 11:03:42,401.47809
23-May-2024 11:03:43,402.2717
23-May-2024 11:03:44,406.42242
23-May-2024 11:03:45,413.34088
23-May-2024 11:03:46,412.09384
23-May-2024 11:03:47,410.12354
23-May-2024 11:03:48,408.01389
23-May-2024 11:03:49,413.18033
23-May-2024 11:03:50,417.15524
23-May-2024 11:03:51,411.8833
23-May-2024 11:03:52,413.71378
23-May-2024 11:03:53,407.87839
23-May-2024 11:03:54,406.74191
23-May-2024 11:03:55,412.75153
23-May-2024 11:03:56,409.30743
23-May-2024 11:03:57,408.38965
23-May-2024 11:03:58,406.12845
23-May-2024 11:03:59,402.55096
23-May-2024 11:04:00,405.59286
23-May-2024 11:04:01,406.08545
23-May-2024 11:04:02,405.93616
23-May-2024 11:04:03,400.35956
23-May-2024 11:04:04,399.19992
23-May-2024 11:04:05,402.40756
23-May-2024 11:04:06,400.12067
23-May-2024 11:04:07,397.82578
23-May-2024 11:04:08,401.69995
23-May-2024 11:04:09,400.3577
23-May-2024 11:04:10,401.99301
23-May-2024 11:04:11,403.77026
23-May-2024 11:04:12,402.93033
23-May-2024 11:04:13,398.89209
23-May-2024 11:04:14,399.01547
23-May-2024 11:04:15,401.20117
23-May-2024 11:04:16,400.28088
23-May-2024 11:04:17,406.0603
23-May-2024 11:04:18,398.9306
23-May-2024 11:04:19,403.26602
23-May-2024 11:04:20,401.5029
23-May-2024 11:04:21,409.21048
23-May-2024 11:04:22,409.51581
23-May-2024 11:04:23,405.32382
23-May-2024 11:04:24,407.13583
23-May-2024 11:04:25,404.19617
23-May-2024 11:04:26,404.56039
23-May-2024 11:04:27,410.90479
23-May-2024 11:04:28,406.8985
23-May-2024 11:04:29,405.23026
23-May-2024 11:04:30,399.56763
23-May-2024 11:04:31,404.25854
23-May-2024 11:04:32,404.65189
23-May-2024 11:04:33,407.98343
23-May-2024 11:04:34,402.17191
23-May-2024 11:04:35,406.25314
23-May-2024 11:04:36,408.79138
23-May-2024 11:04:37,409.92468
23-May-2024 11:04:38,409.54312
23-May-2024 11:04:39,408.51694
23-May-2024 11:04:40,406.85815
23-May-2024 11:04:41,407.78998
23-May-2024 11:04:42,409.49753
23-May-2024 11:04:43,407.13229
23-May-2024 11:04:44,405.83011
23-May-2024 11:04:45,406.54883
23-May-2024 11:04:46,406.14728
23-May-2024 11:04:47,407.42584
23-May-2024 11:04:48,408.16852
23-May-2024 11:04:49,406.75394
23-May-2024 11:04:50,405.81659
23-May-2024 11:04:51,408.2655
23-May-2024 11:04:52,408.87656
23-May-2024 11:04:53,411.69183
23-May-2024 11:04:54,408.63962
23-May-2024 11:04:55,407.13013
23-May-2024 11:04:56,407.76486
23-May-2024 11:04:57,411.383
23-May-2024 11:04:58,413.81387
23-May-2024 11:04:59,413.04941
23-May-2024 11:05:00,417.17798
23-May-2024 11:05:01,417.22433
23-May-2024 11:05:02,413.87979
23-May-2024 11:05:03,415.2569
23-May-2024 11:05:04,414.00998
23-May-2024 11:05:05,409.44348
23-May-2024 11:05:06,374.09747
23-May-2024 11:05:07,367.11234
23-May-2024 11:05:08,367.39401
23-May-2024 11:05:09,369.88388
23-May-2024 11:05:10,370.12204
23-May-2024 11:05:11,368.95016
23-May-2024 11:05:12,368.89804
23-May-2024 11:05:13,367.70602
23-May-2024 11:05:14,367.40125
23-May-2024 11:05:15,369.49146
23-May-2024 11:05:16,368.13068
